intersection_code,stop_lat,wheelchair_boarding,zone_id,stop_lon,stop_id,stop_name_short,parent_station,stop_name,reference_place,location_type,stop_place,stop_code
N-W/B,32.57663979,1,,-117.1091689,60140,Imperial Bch&Florida,,Imperial Beach Bl & Florida St,,0,,60140
F-W/B,32.61540327,2,,-117.0631816,30180,Naples&Alpine,,Naples St & Alpine Av,,0,,30180
N-W/B,32.74348402,2,,-117.181207,13356,Wshngtn&India,,Washington St & India St,,0,,13356
N-S/B,32.79816391,1,,-117.2404308,11543,Ingraham&Grand,,Ingraham St & Grand Av,,0,inggra,11543
N-S/B,32.71059553,0,,-117.2383805,11546,Rosecrans&McCall,,Rosecrans St & McCall St,,0,,11546
N-S/B,32.79245507,1,,-117.238733,11547,Ingraham&Fortuna,,Ingraham St & Fortuna Av,,0,,11547
N-S/B,32.70964539,1,,-117.2386169,11545,Rosecrans&Lawrence,,Rosecrans St & Lawrence St,,0,,11545
F-S/B,32.87578135,1,,-117.2392102,11548,Gilman&Eucalyptus Grove,,Gilman Dr & Eucalyptus Grove Ln,,0,schola,11548
N-S/B,32.78899729,1,,-117.237718,11549,Ingraham&La Pya,,Ingraham St & La Playa Av,,0,,11549
F-N/B,32.81979283,1,,-117.1037916,60791,Santo&Orleck,,Santo Rd & Orleck St,,0,sanorl,60791
,32.78073186,,,-117.1108019,msdS_S,msdS_S,,Mission San Diego Station,msdS,1,,
N-W/B,32.74963152,1,,-117.0877893,11380,Univ&Winona,,University Av & Winona Av,,0,,11380
F-W/B,32.79298073,1,,-117.0865942,11381,Zion&Winona,,Zion Av & Winona Av,,0,,11381
N-W/B,32.7485497,1,,-117.1371737,10899,Univ&Arizona,,University Av & Arizona St,,0,,10899
F-N/B,32.81635631,1,,-117.1047152,60790,Santo&Shields,,Santo Rd & Shields St,,0,,60790
F-W/B,32.72160189,0,,-117.0829839,11384,Federal&Pentecost,,Federal Bl & Pentecost Wy,,0,,11384
F-W/B,32.644693,1,,-117.0818418,11385,E&3rd,,E St & 3rd Av,,0,e3rd,11385
F-W/B,32.69798242,1,,-117.081597,11386,Olvera&Gwen,,Olvera Av & Gwen St,,0,,11386
M-Street-W/B,32.77743774,1,,-117.0295367,13022,Baltimore&Aztec,,Baltimore Dr & Aztec Dr,,0,,13022
N-W/B,32.70444315,0,,-117.1384885,10893,Ocn Vw&Dewey,,Ocean View Bl & Dewey St,,0,,10893
N-W/B,32.74853858,1,,-117.1398633,10892,Univ&Louisiana,,University Av & Louisiana St,,0,,10892
N-W/B,32.70510408,0,,-117.1394541,10890,Ocn Vw&Commercial,,Ocean View Bl & Commercial St,,0,25tro,10890
N-W/B,32.71174396,1,,-117.1379996,10897,Mrkt&26th,,Market St & 26th St,,0,,10897
N-W/B,32.70645596,1,,-117.1379821,10896,Imperial&26th,,Imperial Av & 26th St,,0,,10896
N-W/B,32.69599317,1,,-117.1378735,10895,Natl&26th,,National Av & 26th St,,0,,10895
N-W/B,32.75545775,1,,-117.1385573,10894,El Cjn&Texas,,El Cajon Bl & Texas St,,0,,10894
M-Street-N/B,32.82915944,2,,-116.9611239,40929,Graves&8445,,Graves Av & 8445,,0,,40929
M-Street-W/B,32.82800811,0,,-117.0994082,60795,Cmnt Mesa&Mollendo,,Clairemont Mesa Bl & Mollendo Bl,,0,,60795
F-N/B,32.82337008,1,,-117.0959943,60794,La Cuenta&Macouba,,La Cuenta Dr & Macouba Pl,,0,,60794
F-E/B,32.83607956,1,,-117.0198886,91088,Msn Grg&Big Rock,,Mission Gorge Rd & Big Rock Rd,,0,,91088
F-N/B,32.82539114,1,,-117.1879525,12701,Gnsee&Mt Foraker,,Genesee Av & Mt Foraker Av,,0,,12701
F-N/B,32.82675711,1,,-117.190848,12700,Gnsee&Mt Herbert,,Genesee Av & Mt Herbert Av,,0,,12700
F-N/B,32.82177639,1,,-117.1829303,12703,Gnsee&Mt Etna,,Genesee Av & Mt Etna Dr,,0,,12703
F-N/B,32.823331,1,,-117.184161,12702,Gnsee&Derrick,,Genesee Av & Derrick Dr,,0,,12702
F-N/B,32.81785566,1,,-117.1809227,12705,Gnsee&Mt Alifan,,Genesee Av & Mt Alifan Dr,,0,,12705
F-N/B,32.81987353,1,,-117.1819564,12704,Gnsee&Balboa,,Genesee Av & Balboa Av,,0,balgen,12704
