Zip Code,Idk,City,State,Status,Lat,Lon
92101,STANDARD,SAN DIEGO,CA,PRIMARY,32.71,-117.16
92102,STANDARD,SAN DIEGO,CA,PRIMARY,32.72,-117.09
92103,STANDARD,SAN DIEGO,CA,PRIMARY,32.74,-117.17
92104,STANDARD,SAN DIEGO,CA,PRIMARY,32.73,-117.12
92105,STANDARD,SAN DIEGO,CA,PRIMARY,32.73,-117.08
92106,STANDARD,SAN DIEGO,CA,PRIMARY,32.72,-117.23
92107,STANDARD,SAN DIEGO,CA,PRIMARY,32.73,-117.24
92107,STANDARD,OCEAN BEACH,CA,NOT ACCEPTABLE,32.73,-117.24
92108,STANDARD,SAN DIEGO,CA,PRIMARY,32.77,-117.1
92109,STANDARD,SAN DIEGO,CA,PRIMARY,32.79,-117.23
92109,STANDARD,PACIFIC BEACH,CA,NOT ACCEPTABLE,32.79,-117.23
92110,STANDARD,SAN DIEGO,CA,PRIMARY,32.77,-117.18
92111,STANDARD,SAN DIEGO,CA,PRIMARY,32.8,-117.16
92112,PO BOX,SAN DIEGO,CA,PRIMARY,32.72,-117.16
92113,STANDARD,SAN DIEGO,CA,PRIMARY,32.69,-117.11
92114,STANDARD,SAN DIEGO,CA,PRIMARY,32.71,-117.05
92115,STANDARD,SAN DIEGO,CA,PRIMARY,32.75,-117.07
92116,STANDARD,SAN DIEGO,CA,PRIMARY,32.76,-117.12
92117,STANDARD,SAN DIEGO,CA,PRIMARY,32.81,-117.19
92118,STANDARD,CORONADO,CA,PRIMARY,32.65,-117.14
92118,STANDARD,SAN DIEGO,CA,ACCEPTABLE,32.65,-117.14
92119,STANDARD,SAN DIEGO,CA,PRIMARY,32.81,-117.03
92120,STANDARD,SAN DIEGO,CA,PRIMARY,32.79,-117.06
92121,STANDARD,SAN DIEGO,CA,PRIMARY,32.9,-117.2
92122,STANDARD,SAN DIEGO,CA,PRIMARY,32.85,-117.2
92123,STANDARD,SAN DIEGO,CA,PRIMARY,32.8,-117.13
92124,STANDARD,SAN DIEGO,CA,PRIMARY,32.82,-117.08
92126,STANDARD,SAN DIEGO,CA,PRIMARY,32.88,-117.13
92127,STANDARD,SAN DIEGO,CA,PRIMARY,33.02,-117.12
92128,STANDARD,SAN DIEGO,CA,PRIMARY,32.99,-117.07
92128,STANDARD,RANCHO BERNARDO,CA,NOT ACCEPTABLE,32.99,-117.07
92129,STANDARD,SAN DIEGO,CA,PRIMARY,32.96,-117.12
