intersection_code,stop_lat,wheelchair_boarding,zone_id,stop_lon,stop_id,stop_name_short,parent_station,stop_name,reference_place,location_type,stop_place,stop_code
N-W/B,32.5766397943,1,,-117.109168914,60140,Imperial Bch&Florida,,Imperial Beach Bl & Florida St,,0,,60140
F-W/B,32.6154032748,2,,-117.063181561,30180,Naples&Alpine,,Naples St & Alpine Av,,0,,30180
N-W/B,32.7434840165,2,,-117.181206998,13356,Wshngtn&India,,Washington St & India St,,0,,13356
N-S/B,32.7981639095,1,,-117.240430765,11543,Ingraham&Grand,,Ingraham St & Grand Av,,0,inggra,11543
N-S/B,32.7105955333,0,,-117.238380478,11546,Rosecrans&McCall,,Rosecrans St & McCall St,,0,,11546
N-S/B,32.7924550668,1,,-117.238733008,11547,Ingraham&Fortuna,,Ingraham St & Fortuna Av,,0,,11547
N-S/B,32.7096453946,1,,-117.238616903,11545,Rosecrans&Lawrence,,Rosecrans St & Lawrence St,,0,,11545
F-S/B,32.8757813493,1,,-117.23921017,11548,Gilman&Eucalyptus Grove,,Gilman Dr & Eucalyptus Grove Ln,,0,schola,11548
N-S/B,32.788997289,1,,-117.237718001,11549,Ingraham&La Pya,,Ingraham St & La Playa Av,,0,,11549
F-N/B,32.8197928335,1,,-117.103791577,60791,Santo&Orleck,,Santo Rd & Orleck St,,0,sanorl,60791
,32.7807318648,,,-117.110801894,msdS_S,msdS_S,,Mission San Diego Station,msdS,1,,
N-W/B,32.7496315186,1,,-117.087789331,11380,Univ&Winona,,University Av & Winona Av,,0,,11380
F-W/B,32.7929807329,1,,-117.086594219,11381,Zion&Winona,,Zion Av & Winona Av,,0,,11381
N-W/B,32.7485497006,1,,-117.137173689,10899,Univ&Arizona,,University Av & Arizona St,,0,,10899
F-N/B,32.8163563096,1,,-117.104715201,60790,Santo&Shields,,Santo Rd & Shields St,,0,,60790
F-W/B,32.7216018876,0,,-117.082983897,11384,Federal&Pentecost,,Federal Bl & Pentecost Wy,,0,,11384
F-W/B,32.6446929993,1,,-117.081841835,11385,E&3rd,,E St & 3rd Av,,0,e3rd,11385
F-W/B,32.6979824238,1,,-117.081597028,11386,Olvera&Gwen,,Olvera Av & Gwen St,,0,,11386
M-Street-W/B,32.7774377365,1,,-117.029536676,13022,Baltimore&Aztec,,Baltimore Dr & Aztec Dr,,0,,13022
N-W/B,32.7044431487,0,,-117.138488486,10893,Ocn Vw&Dewey,,Ocean View Bl & Dewey St,,0,,10893
N-W/B,32.7485385765,1,,-117.139863341,10892,Univ&Louisiana,,University Av & Louisiana St,,0,,10892
N-W/B,32.705104075,0,,-117.139454144,10890,Ocn Vw&Commercial,,Ocean View Bl & Commercial St,,0,25tro,10890
N-W/B,32.7117439595,1,,-117.137999641,10897,Mrkt&26th,,Market St & 26th St,,0,,10897
N-W/B,32.7064559553,1,,-117.137982131,10896,Imperial&26th,,Imperial Av & 26th St,,0,,10896
N-W/B,32.6959931684,1,,-117.137873497,10895,Natl&26th,,National Av & 26th St,,0,,10895
N-W/B,32.7554577463,1,,-117.138557339,10894,El Cjn&Texas,,El Cajon Bl & Texas St,,0,,10894
M-Street-N/B,32.8291594352,2,,-116.961123887,40929,Graves&8445,,Graves Av & 8445,,0,,40929
M-Street-W/B,32.8280081086,0,,-117.099408155,60795,Cmnt Mesa&Mollendo,,Clairemont Mesa Bl & Mollendo Bl,,0,,60795
F-N/B,32.8233700822,1,,-117.095994283,60794,La Cuenta&Macouba,,La Cuenta Dr & Macouba Pl,,0,,60794
F-E/B,32.836079558,1,,-117.019888648,91088,Msn Grg&Big Rock,,Mission Gorge Rd & Big Rock Rd,,0,,91088
F-N/B,32.8253911369,1,,-117.187952468,12701,Gnsee&Mt Foraker,,Genesee Av & Mt Foraker Av,,0,,12701
F-N/B,32.8267571145,1,,-117.190847998,12700,Gnsee&Mt Herbert,,Genesee Av & Mt Herbert Av,,0,,12700
F-N/B,32.8217763946,1,,-117.182930314,12703,Gnsee&Mt Etna,,Genesee Av & Mt Etna Dr,,0,,12703
F-N/B,32.8233309999,1,,-117.184160983,12702,Gnsee&Derrick,,Genesee Av & Derrick Dr,,0,,12702
F-N/B,32.8178556623,1,,-117.180922742,12705,Gnsee&Mt Alifan,,Genesee Av & Mt Alifan Dr,,0,,12705
F-N/B,32.8198735258,1,,-117.18195641,12704,Gnsee&Balboa,,Genesee Av & Balboa Av,,0,balgen,12704
F-N/B,32.7722964495,1,,-117.177233474,12707,L Vsta&Alcala Knolls,,Linda Vista Rd & Alcala Knolls Dr,,0,,12707
N-N/B,32.5686503258,2,,-117.083929738,60353,Hollister&Iris,,Hollister St & Iris Av,,0,,60353
F-N/B,32.8111015448,1,,-117.177769075,12708,Gnsee&Boyd,,Genesee Av & Boyd Av,,0,,12708
N-N/B,32.6269146387,1,,-117.087689402,60351,Brdwy&I,,Broadway & I St,,0,,60351
N-N/B,32.5946259526,1,,-117.083967372,60355,Hollister&Main,,Hollister St & Main St,,0,,60355
F-N/B,32.5842916431,1,,-117.083970374,60354,Hollister&Palm,,Hollister St & Palm Av,,0,plmtro,60354
N-W/B,32.6961607262,1,,-117.107993343,10967,Natl&40th,,National Av & 40th St,,0,,10967
N-W/B,32.6757027993,1,,-117.107719547,10966,W 8th&Roosevelt,,W 8th St & Roosevelt Av,,0,,10966
M-Street-E/B,32.8323582595,1,,-117.204148183,13028,Clairemont&4976 (Clairemont Town Square),,Clairemont Dr & 4976 (Clairemont Town Square),,0,,13028
N-E/B,32.7116265056,1,,-117.109577604,10963,Mrkt&Quail,,Market St & Quail St,,0,,10963
N-W/B,32.7013809796,0,,-117.110238365,10962,Ocn Vw&39th,,Ocean View Bl & 39th St,,0,,10962
N-W/B,32.755363902,1,,-117.113448922,10960,El Cjn&37th,,El Cajon Bl & 37th St,,0,,10960
M-Street-N/B,32.7884831945,1,,-117.108355881,10968,Rcho Mission&Friars,,Rancho Mission Rd & Friars Rd,,0,,10968
F-W/B,32.8330842639,1,,-117.12154606,60820,Cmnt Mesa&Murphy Cyn,,Clairemont Mesa Bl & Murphy Canyon Rd,,0,,60820
N-W/B,32.5766551228,0,,-117.112872859,60137,Imperial Bch&Emory,,Imperial Beach Bl & Emory St,,0,,60137
F-N/B,32.8238833303,2,,-117.144078733,99998,Kearny Villa&Century Park,,Kearny Villa Rd & Century Park Ct,,0,,99998
N-W/B,32.5845323365,1,,-117.117559729,60135,Slvr Strnd&7th,,Silver Strand Bl & 7th St,,0,,60135
N-W/B,32.5766786284,1,,-117.1185213,60134,Imperial Bch&Connecticut,,Imperial Beach Bl & Connecticut St,,0,,60134
N-W/B,32.5840118976,1,,-117.120424404,60133,Palm&Rainbow,,Palm Av & Rainbow Dr,,0,,60133
N-W/B,32.5840192393,1,,-117.122106096,60132,Palm&5th,,Palm Av & 5th St,,0,,60132
N-W/B,32.5767180706,1,,-117.124598389,60131,Imperial Bch&4th,,Imperial Beach Bl & 4th St,,0,imp4th,60131
N-W/B,32.576734935,1,,-117.127250622,60130,Imperial Bch&3rd,,Imperial Beach Bl & 3rd St,,0,,60130
N-E/B,32.8895765596,1,,-117.142795086,10132,Miramar&Cabot,,Miramar Rd & Cabot Dr,,0,,10132
F-E/B,32.727237416,1,,-117.217642592,99993,N Harbor&Laning,,N Harbor Dr & Laning Dr,,0,,99993
F-W/B,32.7288288908,1,,-117.212116193,99995,N Harbor&Lee,,N Harbor Dr & Lee Ct,,0,,99995
N-E/B,32.7285709972,2,,-117.211950466,99994,N Harbor&Spanish Landing W,,N Harbor Dr & Spanish Landing W,,0,,99994
N-W/B,32.584067827,1,,-117.112867406,60138,Palm&Emory,,Palm Av & Emory St,,0,,60138
M-Street-W/B,32.6041141978,1,,-117.040974589,30648,E Orange&EOrange Vlge,,E Orange Av & East Orange Village,,0,,30648
N-N/B,32.6188280004,0,,-117.026963062,30665,Medical Ctr&Medical Ctr,,Medical Center Dr & Medical Center Ct,,0,,30665
,32.7568600682,,,-117.01721547,sprtro,sprtro,,Spring Street Station,,1,,
N-S/B,32.7221789347,0,,-117.169289599,13541,Kettner&Cedar,cocS_S,Kettner Bl & Cedar St,,0,cocS,13541
N-E/B,32.8436948101,1,,-117.273633231,13543,Girard&Kline,,Girard Av & Kline St,,0,,13543
F-N/B,32.9860806663,1,,-117.07531606,13451,Carmel Mtn&Conference Way,,Carmel Mountain Rd & Conference Way,,0,,13451
M-Street-N/B,32.6249379865,1,,-117.037764012,30663,Oleander&Jamul,,Oleander Av & Jamul Ct,,0,,30663
F-E/B,32.5837062515,1,,-117.065911912,60094,Palm&Hawaii,,Palm Av & Hawaii Av,,0,,60094
N-E/B,32.7271141506,1,,-117.163149932,12019,Hawthorn&2nd,,Hawthorn St & 2nd Av,,0,,12019
F-S/B,32.7467767362,1,,-117.163932632,12018,1st&Robinson,,1st Av & Robinson Av,,0,,12018
,32.6769014953,0,,-117.17260847,99848,Slvr Strnd&Avda de las Arenas,,Silver Strand Bl & Avenida de las Arenas,,0,strcit,99848
F-S/B,32.737593106,1,,-117.164045514,12015,1st&Redwood,,1st Av & Redwood St,,0,,12015
F-S/B,32.7311399656,1,,-117.163994841,12014,1st&Laurel,,1st Av & Laurel St,,0,,12014
F-S/B,32.7411989065,1,,-117.164079666,12017,1st&Walnut,,1st Av & Walnut Av,,0,,12017
F-S/B,32.7332204082,1,,-117.164019671,12016,1st&Nutmeg,,1st Av & Nutmeg St,,0,,12016
F-N/B,32.6847651398,1,,-117.179322569,60371,Orange&C,,Orange Av & C Av,,0,,60371
F-S/B,32.6982897254,1,,-117.093812314,11737,47th&T,,47th St & T St,,0,,11737
F-S/B,32.7395581201,1,,-117.16406915,12013,1st&Thorn,,1st Av & Thorn St,,0,,12013
F-S/B,32.7176248918,1,,-117.164820328,12012,Front&B,,Front St & B St,,0,frobst,12012
M-Street-N/B,33.208834343,2,,-116.330010877,98004,Yaqui Pass&Deep Dell Tr,,Yaqui Pass & Deep Dell Tr,,0,,98004
M-Street-E/B,33.1387058713,2,,-116.374930541,98005,Yaqui Pass&Tamarisk Grove Campground,,Yaqui Pass & Tamarisk Grove Campground,,0,,98005
N-S/B,32.7103327288,0,,-117.072796021,11768,Pitta&Mrkt,,Pitta St & Market St,,0,,11768
N-S/B,32.6207977408,1,,-117.072000091,11769,3rd&L,,3rd Av & L St,,0,,11769
M-Street-W/B,33.256546412,2,,-116.369805828,98000,Palm Cyn&Opp 818,,Palm Canyon Rd & Opp 818,,0,,98000
M-Street-W/B,33.2567800102,2,,-116.369815961,98001,Palm Cyn&818,,Palm Canyon Rd & 818,,0,,98001
M-Street-W/B,33.2567281453,2,,-116.36055189,98002,Palm Cyn&1010,,Palm Canyon Rd & 1010,,0,,98002
M-Street-W/B,33.2207466808,2,,-116.336675883,98003,Rango&Cts Yard,,Rango Wy & Cts Yard,,0,,98003
M-Street-W/B,32.7231657323,1,,-117.078911562,11763,Bayview Heights&1670,,Bayview Heights Dr & 1670,,0,,11763
N-S/B,32.7361302387,1,,-117.079752196,11760,54th&Krenning,,54th St & Krenning St,,0,,11760
N-S/B,32.7378729603,1,,-117.079726329,11761,54th&Redwood,,54th St & Redwood St,,0,,11761
N-E/B,32.7138579875,0,,-117.073778261,11766,Kelton&Pyramid,,Kelton Rd & Pyramid St,,0,,11766
N-S/B,32.7003139136,1,,-117.073290879,11767,58th&Mira Flores,,58th St & Mira Flores Dr,,0,,11767
N-S/B,32.7255555058,0,,-117.075845045,11764,Bayview Heights&Hudson Bay,,Bayview Heights Dr & Hudson Bay Ter,,0,,11764
N-S/B,32.7120838856,0,,-117.073976252,11765,Pyramid&Kenwood,,Pyramid St & Kenwood St,,0,,11765
M-Street-E/B,32.8823978832,1,,-117.224232074,99200,Voigt&Scripps Memorial Hospital,,Voigt Dr & Scripps Memorial Hospital,,0,scrhos,99200
F-S/B,32.9124212108,1,,-117.135669315,99203,Westonhill&Mra Msa,,Westonhill Dr & Mira Mesa Bl,,0,,99203
F-E/B,32.7424955847,1,,-117.03828489,10708,Brdwy&West,,Broadway & West St,,0,,10708
N-S/B,32.9087880633,1,,-117.135616436,99205,Westonhill&Hebrides,,Westonhill Dr & Hebrides Dr,,0,,99205
N-N/B,32.9124389379,1,,-117.135496793,99204,Westonhill&Mra Msa,,Westonhill Dr & Mira Mesa Bl,,0,,99204
N-S/B,32.9061468916,1,,-117.135596357,99207,Westonhill&Gold Coast,,Westonhill Dr & Gold Coast Dr,,0,,99207
F-N/B,32.9088249351,1,,-117.135457147,99206,Westonhill&Hebrides,,Westonhill Dr & Hebrides Dr,,0,,99206
M-Street-N/B,32.7793361017,1,,-117.039613444,10703,Lake Murray&Kiowa,,Lake Murray Bl & Kiowa Dr,,0,,10703
F-N/B,32.9060490729,1,,-117.135438976,99208,Westonhill&Gold Coast,,Westonhill Dr & Gold Coast Dr,,0,,99208
F-E/B,32.7424446004,1,,-117.042382188,10701,Brdwy&Mass,,Broadway & Massachusetts Av,,0,,10701
F-E/B,32.7551496166,1,,-117.042577771,10700,Univ&Mass,,University Av & Massachusetts Av,,0,,10700
F-E/B,32.7120448667,0,,-117.03831817,10707,Lisbon&Jamacha,,Lisbon St & Jamacha Rd,,0,,10707
F-E/B,32.8009675275,1,,-117.039488489,10706,Jackson&Golfcrest,,Jackson Dr & Golfcrest Dr,,0,,10706
F-W/B,32.7426880351,1,,-117.038706144,10705,Brdwy&West,,Broadway & West St,,0,,10705
F-E/B,32.7120367977,0,,-117.03957951,10704,Lisbon&Tibbett,,Lisbon St & Tibbett St,,0,,10704
N-E/B,32.6927285378,1,,-117.170770231,60005,4th&Adella,,4th St & Adella Ln,,0,,60005
F-E/B,32.6933791453,1,,-117.172346974,60004,4th&B,,4th St & B Av,,0,,60004
F-E/B,32.7495205491,1,,-117.098397801,10616,Univ&Highland,,University Av & Highland Av,,0,,10616
M-TC-Bus,32.7546481654,1,,-117.199286273,94028,Old Town TC,oldttc,Old Town Transit Center,oldttc,0,ottc_e,94028
